ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№2666 | Инфинитив: pabráižyti          | Форма: "pabraizome" (Mes     ) | Варианты: pabráižome / pabraĩžome
№2667 | Инфинитив: pabráižyti          | Форма: "pabraizote" (Jūs     ) | Варианты: pabráižote / pabraĩžote
№2668 | Инфинитив: pabráižyti          | Форма: "pabraiziau" (Aš      ) | Варианты: pabráižiau / pabraižiaũ
№2669 | Инфинитив: pabráižyti          | Форма: "pabraizei" (Tu      ) | Варианты: pabráižei / pabraižeĩ
№2670 | Инфинитив: pabráižyti          | Форма: "pabraizeme" (Mes     ) | Варианты: pabráižėme / pabraĩžėme
№2671 | Инфинитив: pabráižyti          | Форма: "pabraizete" (Jūs     ) | Варианты: pabráižėte / pabraĩžėte
№2672 | Инфинитив: pabráižyti          | Форма: "pabraizysiu" (Aš      ) | Варианты: pabráižysiu / pabraižýsiu
№2673 | Инфинитив: pabráižyti          | Форма: "pabraizysi" (Tu      ) | Варианты: pabráižysi / pabraižýsi
№2674 | Инфинитив: pabráižyti          | Форма: "pabraizys" (Jis/ji  ) | Варианты: pabráižys / pabraižỹs
№2675 | Инфинитив: pabráižyti          | Форма: "pabraizysime" (Mes     ) | Варианты: pabráižysime / pabraižýsime
№2676 | Инфинитив: pabráižyti          | Форма: "pabraizysite" (Jūs     ) | Варианты: pabráižysite / pabraižýsite
№2677 | Инфинитив: pabráižyti          | Форма: "pabraizyciau" (Aš      ) | Варианты: pabráižyčiau / pabraižýčiau
№2678 | Инфинитив: pabráižyti          | Форма: "pabraizytum" (Tu      ) | Варианты: pabráižytum / pabraižýtum
№2679 | Инфинитив: pabráižyti          | Форма: "pabraizytu" (Jis/ji  ) | Варианты: pabraižýtų / pabráižytų / pabraižýtų
№2680 | Инфинитив: pabráižyti          | Форма: "pabraizytume" (Mes     ) | Варианты: pabráižytume / pabraižýtume
№2681 | Инфинитив: pabráižyti          | Форма: "pabraizytute" (Jūs     ) | Варианты: pabráižytute / pabraižýtute
№2682 | Инфинитив: pabráižyti          | Форма: "pabraizyk" (Tu      ) | Варианты: pabráižyk / pabraižýk
№2683 | Инфинитив: pabráižyti          | Форма: "pabraizykite" (Jūs     ) | Варианты: pabráižykite / pabraižýkite
№2684 | Инфинитив: pabráižyti          | Форма: "pabraizydavau" (Aš      ) | Варианты: pabráižydavau / pabraižýdavau
№2685 | Инфинитив: pabráižyti          | Форма: "pabraizydavai" (Tu      ) | Варианты: pabráižydavai / pabraižýdavai
№2686 | Инфинитив: pabráižyti          | Форма: "pabraizydavo" (Jis/ji  ) | Варианты: pabráižydavo / pabraižýdavo
№2687 | Инфинитив: pabráižyti          | Форма: "pabraizydavome" (Mes     ) | Варианты: pabráižydavome / pabraižýdavome
№2688 | Инфинитив: pabráižyti          | Форма: "pabraizydavote" (Jūs     ) | Варианты: pabráižydavote / pabraižýdavote
№2689 | Инфинитив: pabrángti           | Форма: "pabrangstu" (Aš      ) | Варианты: pabrángstu / pabrangstù
№2690 | Инфинитив: pabrángti           | Форма: "pabrangsti" (Tu      ) | Варианты: pabrángsti / pabrangstì
№2691 | Инфинитив: pabrángti           | Форма: "pabrangstame" (Mes     ) | Варианты: pabrángstame / pabrañgstame
№2692 | Инфинитив: pabrángti           | Форма: "pabrangstate" (Jūs     ) | Варианты: pabrángstate / pabrañgstate
№2693 | Инфинитив: pabrángti           | Форма: "pabrangau" (Aš      ) | Варианты: pabrángau / pabrangaũ
№2694 | Инфинитив: pabrángti           | Форма: "pabrangai" (Tu      ) | Варианты: pabrángai / pabrangaĩ
№2695 | Инфинитив: pabrángti           | Форма: "pabrangome" (Mes     ) | Варианты: pabrángome / pabrañgome
№2696 | Инфинитив: pabrángti           | Форма: "pabrangote" (Jūs     ) | Варианты: pabrángote / pabrañgote
№2697 | Инфинитив: pabrángti           | Форма: "pabrangsiu" (Aš      ) | Варианты: pabrángsiu / pabrañgsiu
№2698 | Инфинитив: pabrángti           | Форма: "pabrangsi" (Tu      ) | Варианты: pabrángsi / pabrañgsi
№2699 | Инфинитив: pabrángti           | Форма: "pabrangsime" (Mes     ) | Варианты: pabrángsime / pabrañgsime
№2700 | Инфинитив: pabrángti           | Форма: "pabrangsite" (Jūs     ) | Варианты: pabrángsite / pabrañgsite
№2701 | Инфинитив: pabrángti           | Форма: "pabrangciau" (Aš      ) | Варианты: pabrángčiau / pabrañgčiau
№2702 | Инфинитив: pabrángti           | Форма: "pabrangtum" (Tu      ) | Варианты: pabrángtum / pabrañgtum
№2703 | Инфинитив: pabrángti           | Форма: "pabrangtu" (Jis/ji  ) | Варианты: pabrángtų / pabrángtų / pabrañgtų
№2704 | Инфинитив: pabrángti           | Форма: "pabrangtume" (Mes     ) | Варианты: pabrángtume / pabrañgtume
№2705 | Инфинитив: pabrángti           | Форма: "pabrangtute" (Jūs     ) | Варианты: pabrángtute / pabrañgtute
№2706 | Инфинитив: pabrángti           | Форма: "pabrank" (Tu      ) | Варианты: pabránk / pabrañk
№2707 | Инфинитив: pabrángti           | Форма: "pabrankite" (Jūs     ) | Варианты: pabránkite / pabrañkite
№2708 | Инфинитив: pabrángti           | Форма: "pabrangdavau" (Aš      ) | Варианты: pabrángdavau / pabrañgdavau
№2709 | Инфинитив: pabrángti           | Форма: "pabrangdavai" (Tu      ) | Варианты: pabrángdavai / pabrañgdavai
№2710 | Инфинитив: pabrángti           | Форма: "pabrangdavome" (Mes     ) | Варианты: pabrángdavome / pabrañgdavome
№2711 | Инфинитив: pabrángti           | Форма: "pabrangdavote" (Jūs     ) | Варианты: pabrángdavote / pabrañgdavote
№2712 | Инфинитив: pabraũkti           | Форма: "pabrauktu" (Jis/ji  ) | Варианты: pabrauktų̃ / pabraũktų
№2713 | Инфинитив: pabrė́žti            | Форма: "pabreziu" (Aš      ) | Варианты: pabrė́žiu / pabrėžiù
№2714 | Инфинитив: pabrė́žti            | Форма: "pabrezi" (Tu      ) | Варианты: pabrė́ži / pabrėžì
№2715 | Инфинитив: pabrė́žti            | Форма: "pabrezia" (Jis/ji  ) | Варианты: pabrė́žia / pabrė̃žia
№2716 | Инфинитив: pabrė́žti            | Форма: "pabreziame" (Mes     ) | Варианты: pabrė́žiame / pabrė̃žiame
№2717 | Инфинитив: pabrė́žti            | Форма: "pabreziate" (Jūs     ) | Варианты: pabrė́žiate / pabrė̃žiate
№2718 | Инфинитив: pabrė́žti            | Форма: "pabreziau" (Aš      ) | Варианты: pabrė́žiau / pàbrėžiau
№2719 | Инфинитив: pabrė́žti            | Форма: "pabrezei" (Tu      ) | Варианты: pabrė́žei / pàbrėžei
№2720 | Инфинитив: pabrė́žti            | Форма: "pabreze" (Jis/ji  ) | Варианты: pabrė́žė / pàbrėžė
№2721 | Инфинитив: pabrė́žti            | Форма: "pabrezeme" (Mes     ) | Варианты: pabrė́žėme / pàbrėžėme
№2722 | Инфинитив: pabrė́žti            | Форма: "pabrezete" (Jūs     ) | Варианты: pabrė́žėte / pàbrėžėte
№2723 | Инфинитив: pabrė́žti            | Форма: "pabresiu" (Aš      ) | Варианты: pabrė́šiu / pabrė̃šiu
№2724 | Инфинитив: pabrė́žti            | Форма: "pabresi" (Tu      ) | Варианты: pabrė́ši / pabrė̃ši
№2725 | Инфинитив: pabrė́žti            | Форма: "pabresime" (Mes     ) | Варианты: pabrė́šime / pabrė̃šime
№2726 | Инфинитив: pabrė́žti            | Форма: "pabresite" (Jūs     ) | Варианты: pabrė́šite / pabrė̃šite
№2727 | Инфинитив: pabrė́žti            | Форма: "pabrezciau" (Aš      ) | Варианты: pabrėžčiaũ / pabrė́žčiau / pabrė̃žčiau
№2728 | Инфинитив: pabrė́žti            | Форма: "pabreztum" (Tu      ) | Варианты: pabrė́žtum / pabrė̃žtum
№2729 | Инфинитив: pabrė́žti            | Форма: "pabreztu" (Jis/ji  ) | Варианты: pabrė́žtų / pabrė̃žtų
№2730 | Инфинитив: pabrė́žti            | Форма: "pabreztume" (Mes     ) | Варианты: pabrėžtumè / pabrė́žtume / pabrė̃žtume
№2731 | Инфинитив: pabrė́žti            | Форма: "pabreztute" (Jūs     ) | Варианты: pabrė́žtute / pabrė̃žtute
№2732 | Инфинитив: pabrė́žti            | Форма: "pabrezk" (Tu      ) | Варианты: pabrė́žk / pabrė̃žk
№2733 | Инфинитив: pabrė́žti            | Форма: "pabrezkite" (Jūs     ) | Варианты: pabrė́žkite / pabrė̃žkite
№2734 | Инфинитив: pabrė́žti            | Форма: "pabrezdavau" (Aš      ) | Варианты: pabrė́ždavau / pabrė̃ždavau
№2735 | Инфинитив: pabrė́žti            | Форма: "pabrezdavai" (Tu      ) | Варианты: pabrė́ždavai / pabrė̃ždavai
№2736 | Инфинитив: pabrė́žti            | Форма: "pabrezdavo" (Jis/ji  ) | Варианты: pabrė́ždavo / pabrė̃ždavo
№2737 | Инфинитив: pabrė́žti            | Форма: "pabrezdavome" (Mes     ) | Варианты: pabrė́ždavome / pabrė̃ždavome
№2738 | Инфинитив: pabrė́žti            | Форма: "pabrezdavote" (Jūs     ) | Варианты: pabrė́ždavote / pabrė̃ždavote
№2739 | Инфинитив: pabučiúoti          | Форма: "pabuciuociau" (Aš      ) | Варианты: pabučiuočiaũ / pabučiúočiau
№2740 | Инфинитив: pabū́gti             | Форма: "pabugtu" (Jis/ji  ) | Варианты: pabūgtų̃ / pabū́gtų
№2741 | Инфинитив: pabùsti              | Форма: "pabusciau" (Aš      ) | Варианты: pabusčiaũ / pabùsčiau
№2742 | Инфинитив: pabùsti              | Форма: "pabustu" (Jis/ji  ) | Варианты: pabustų̃ / pabùstų
№2743 | Инфинитив: pabū́ti              | Форма: "pabuciau" (Aš      ) | Варианты: pabūčiaũ / pabū́čiau
№2744 | Инфинитив: pabū́ti              | Форма: "pabutu" (Jis/ji  ) | Варианты: pabūtų̃ / pabū́tų
№2745 | Инфинитив: pabū́ti              | Форма: "pabutume" (Mes     ) | Варианты: pabūtumè / pabū́tume
№2746 | Инфинитив: pačiul̃pti           | Форма: "paciulptu" (Jis/ji  ) | Варианты: pačiulptų̃ / pačiul̃ptų
№2747 | Инфинитив: padalìnti           | Форма: "padalinciau" (Aš      ) | Варианты: padalinčiaũ / padalìnčiau
№2748 | Инфинитив: padarýti            | Форма: "padaryciau" (Aš      ) | Варианты: padaryčiaũ / padarýčiau
№2749 | Инфинитив: padažýti            | Форма: "padazo" (Jis/ji  ) | Варианты: pãdažo / padãžo
№2750 | Инфинитив: padègti             | Форма: "padegciau" (Aš      ) | Варианты: padegčiaũ / padègčiau
№2751 | Инфинитив: padėkóti            | Форма: "padekos" (Jis/ji  ) | Варианты: padėkõs / pãdėkos
№2752 | Инфинитив: padėkóti            | Форма: "padekociau" (Aš      ) | Варианты: padėkočiaũ / padėkóčiau
№2753 | Инфинитив: padėkóti            | Форма: "padekotume" (Mes     ) | Варианты: padėkotumè / padėkótume
№2754 | Инфинитив: padė́ti              | Форма: "padeciau" (Aš      ) | Варианты: padėčiaũ / padė́čiau
№2755 | Инфинитив: padìdinti           | Форма: "padidinciau" (Aš      ) | Варианты: padidinčiaũ / padìdinčiau
№2756 | Инфинитив: padirbė́ti           | Форма: "padirbeciau" (Aš      ) | Варианты: padirbėčiaũ / padirbė́čiau
№2757 | Инфинитив: padirbė́ti           | Форма: "padirbetume" (Mes     ) | Варианты: padirbėtumè / padirbė́tume
№2758 | Инфинитив: padìrbti            | Форма: "padirbtu" (Jis/ji  ) | Варианты: padirbtų̃ / padìrbtų
№2759 | Инфинитив: padovanóti          | Форма: "padovanociau" (Aš      ) | Варианты: padovanočiaũ / padovanóčiau
№2760 | Инфинитив: padrą́sinti          | Форма: "padrasinciau" (Aš      ) | Варианты: padrąsinčiaũ / padrą́sinčiau
№2761 | Инфинитив: padrą́sinti          | Форма: "padrasintume" (Mes     ) | Варианты: padrąsintumè / padrą́sintume
№2762 | Инфинитив: padúoti             | Форма: "paduociau" (Aš      ) | Варианты: paduočiaũ / padúočiau
№2763 | Инфинитив: padvė̃sti            | Форма: "padvestu" (Jis/ji  ) | Варианты: padvėstų̃ / padvė̃stų
№2764 | Инфинитив: paeĩti              | Форма: "paeiciau" (Aš      ) | Варианты: paeičiaũ / paeĩčiau
№2765 | Инфинитив: paeĩti              | Форма: "paeitu" (Jis/ji  ) | Варианты: paeitų̃ / paeĩtų
№2766 | Инфинитив: paė́sti              | Форма: "paeda" (Jis/ji  ) | Варианты: paėdà / paė́da
№2767 | Инфинитив: pagadìnti           | Форма: "pagadinciau" (Aš      ) | Варианты: pagadinčiaũ / pagadìnčiau
№2768 | Инфинитив: pagalvóti           | Форма: "pagalvociau" (Aš      ) | Варианты: pagalvočiaũ / pagalvóčiau
№2769 | Инфинитив: pagamìnti           | Форма: "pagaminciau" (Aš      ) | Варианты: pagaminčiaũ / pagamìnčiau
№2770 | Инфинитив: pagarsė́ti           | Форма: "pagarsetume" (Mes     ) | Варианты: pagarsėtumè / pagarsė́tume
№2771 | Инфинитив: pagą̃sdinti          | Форма: "pagasdintume" (Mes     ) | Варианты: pagąsdintumè / pagą̃sdintume
№2772 | Инфинитив: pagáuti             | Форма: "pagauciau" (Aš      ) | Варианты: pagaučiaũ / pagáučiau
№2773 | Инфинитив: pageidáuti          | Форма: "pageidauciau" (Aš      ) | Варианты: pageidaučiaũ / pageidáučiau
№2774 | Инфинитив: pagélbėti           | Форма: "pagelbeciau" (Aš      ) | Варианты: pagelbėčiaũ / pagélbėčiau
№2775 | Инфинитив: pagélbėti           | Форма: "pagelbetume" (Mes     ) | Варианты: pagelbėtumè / pagélbėtume
№2776 | Инфинитив: pager̃bti            | Форма: "pagerbciau" (Aš      ) | Варианты: pagerbčiaũ / pager̃bčiau
№2777 | Инфинитив: pager̃bti            | Форма: "pagerbtu" (Jis/ji  ) | Варианты: pagerbtų̃ / pager̃btų
№2778 | Инфинитив: pagerė́ti            | Форма: "pagereciau" (Aš      ) | Варианты: pagerėčiaũ / pagerė́čiau
№2779 | Инфинитив: pagẽrinti           | Форма: "pagerinciau" (Aš      ) | Варианты: pagerinčiaũ / pagẽrinčiau
№2780 | Инфинитив: pagimdýti           | Форма: "pagimdyciau" (Aš      ) | Варианты: pagimdyčiaũ / pagimdýčiau
№2781 | Инфинитив: pagìrti             | Форма: "pagirciau" (Aš      ) | Варианты: pagirčiaũ / pagìrčiau
№2782 | Инфинитив: pagìrti             | Форма: "pagirtu" (Jis/ji  ) | Варианты: pagirtų̃ / pagìrtų
№2783 | Инфинитив: paglóstyti          | Форма: "paglostyciau" (Aš      ) | Варианты: paglostyčiaũ / paglóstyčiau
№2784 | Инфинитив: pagráužti           | Форма: "pagrauztu" (Jis/ji  ) | Варианты: pagraužtų̃ / pagráužtų
№2785 | Инфинитив: pagriebtì           | Форма: "pagriebtu" (Jis/ji  ) | Варианты: pagriebtų̃ / pagriẽbtų
№2786 | Инфинитив: pagrį̃sti            | Форма: "pagrindziau" (Aš      ) | Варианты: pagrindžiaũ / pàgrindžiau
№2787 | Инфинитив: pagrį̃sti            | Форма: "pagristume" (Mes     ) | Варианты: pagrįstumè / pagrį̃stume
№2788 | Инфинитив: pagróbti            | Форма: "pagrobiu" (Aš      ) | Варианты: pagróbiu / pagrobiù
№2789 | Инфинитив: pagróbti            | Форма: "pagrobi" (Tu      ) | Варианты: pagróbi / pagrobì
№2790 | Инфинитив: pagróbti            | Форма: "pagrobiame" (Mes     ) | Варианты: pagróbiame / pagrõbiame
№2791 | Инфинитив: pagróbti            | Форма: "pagrobiate" (Jūs     ) | Варианты: pagróbiate / pagrõbiate
№2792 | Инфинитив: pagróbti            | Форма: "pagrobe" (Jis/ji  ) | Варианты: pagróbė / pagróbė / pàgrobė
№2793 | Инфинитив: pagróbti            | Форма: "pagrobeme" (Mes     ) | Варианты: pagróbėme / pagróbėme / pàgrobėme
№2794 | Инфинитив: pagróbti            | Форма: "pagrobete" (Jūs     ) | Варианты: pagróbėte / pagróbėte / pàgrobėte
№2795 | Инфинитив: pagróbti            | Форма: "pagrobsi" (Tu      ) | Варианты: pagróbsi / pagrõbsi
№2796 | Инфинитив: pagróbti            | Форма: "pagrobsime" (Mes     ) | Варианты: pagróbsime / pagrõbsime
№2797 | Инфинитив: pagróbti            | Форма: "pagrobsite" (Jūs     ) | Варианты: pagróbsite / pagrõbsite
№2798 | Инфинитив: pagróbti            | Форма: "pagrobciau" (Aš      ) | Варианты: pagróbčiau / pagrõbčiau
№2799 | Инфинитив: pagróbti            | Форма: "pagrobtum" (Tu      ) | Варианты: pagróbtum / pagrõbtum
№2800 | Инфинитив: pagróbti            | Форма: "pagrobtu" (Jis/ji  ) | Варианты: pagrobtų̃ / pagróbtų / pagrõbtų
№2801 | Инфинитив: pagróbti            | Форма: "pagrobtume" (Mes     ) | Варианты: pagróbtume / pagrõbtume
№2802 | Инфинитив: pagróbti            | Форма: "pagrobtute" (Jūs     ) | Варианты: pagróbtute / pagrõbtute
№2803 | Инфинитив: pagróbti            | Форма: "pagrobk" (Tu      ) | Варианты: pagróbk / pagrõbk
№2804 | Инфинитив: pagróbti            | Форма: "pagrobkite" (Jūs     ) | Варианты: pagróbkite / pagrõbkite
№2805 | Инфинитив: pagróbti            | Форма: "pagrobdavau" (Aš      ) | Варианты: pagróbdavau / pagrõbdavau
№2806 | Инфинитив: pagróbti            | Форма: "pagrobdavai" (Tu      ) | Варианты: pagróbdavai / pagrõbdavai
№2807 | Инфинитив: pagróbti            | Форма: "pagrobdavome" (Mes     ) | Варианты: pagróbdavome / pagrõbdavome
№2808 | Инфинитив: pagróbti            | Форма: "pagrobdavote" (Jūs     ) | Варианты: pagróbdavote / pagrõbdavote
№2809 | Инфинитив: pagróti             | Форма: "pagrociau" (Aš      ) | Варианты: pagročiaũ / pagróčiau
№2810 | Инфинитив: pagróti             | Форма: "pagrotu" (Jis/ji  ) | Варианты: pagrotų̃ / pagrótų
№2811 | Инфинитив: paguldýti           | Форма: "paguldyciau" (Aš      ) | Варианты: paguldyčiaũ / paguldýčiau
№2812 | Инфинитив: pagúosti            | Форма: "paguodziu" (Aš      ) | Варианты: pagúodžiu / pagúodžiu / paguodžiù
№2813 | Инфинитив: pagúosti            | Форма: "paguodzia" (Jis/ji  ) | Варианты: pagúodžia / pagúodžia / paguõdžia
№2814 | Инфинитив: pagúosti            | Форма: "paguodziame" (Mes     ) | Варианты: pagúodžiame / pagúodžiame / paguõdžiame
№2815 | Инфинитив: pagúosti            | Форма: "paguodziate" (Jūs     ) | Варианты: pagúodžiate / paguõdžiate
№2816 | Инфинитив: pagúosti            | Форма: "paguodziau" (Aš      ) | Варианты: pagúodžiau / pagúodžiau / pàguodžiau
№2817 | Инфинитив: pagúosti            | Форма: "paguode" (Jis/ji  ) | Варианты: pagúodė / pagúodė / pàguodė
№2818 | Инфинитив: pagúosti            | Форма: "paguodeme" (Mes     ) | Варианты: pagúodėme / pàguodėme
№2819 | Инфинитив: pagúosti            | Форма: "paguodete" (Jūs     ) | Варианты: pagúodėte / pagúodėte / pàguodėte
№2820 | Инфинитив: pagúosti            | Форма: "paguosciau" (Aš      ) | Варианты: paguosčiaũ / pagúosčiau / paguõsčiau
№2821 | Инфинитив: pagúosti            | Форма: "paguostu" (Jis/ji  ) | Варианты: paguostų̃ / pagúostų / paguõstų
№2822 | Инфинитив: pagúosti            | Форма: "paguostume" (Mes     ) | Варианты: pagúostume / paguõstume
№2823 | Инфинитив: pagúosti            | Форма: "paguostute" (Jūs     ) | Варианты: pagúostute / paguõstute
№2824 | Инфинитив: pagúosti            | Форма: "paguosdavau" (Aš      ) | Варианты: pagúosdavau / paguõsdavau
№2825 | Инфинитив: pagúosti            | Форма: "paguosdavai" (Tu      ) | Варианты: pagúosdavai / paguõsdavai
№2826 | Инфинитив: pagúosti            | Форма: "paguosdavome" (Mes     ) | Варианты: pagúosdavome / paguõsdavome
№2827 | Инфинитив: pagúosti            | Форма: "paguosdavote" (Jūs     ) | Варианты: pagúosdavote / paguõsdavote
№2828 | Инфинитив: pagýdyti            | Форма: "pagydyciau" (Aš      ) | Варианты: pagydyčiaũ / pagýdyčiau
№2829 | Инфинитив: pagyvénti           | Форма: "pagyvenciau" (Aš      ) | Варианты: pagyvenčiaũ / pagyvénčiau
№2830 | Инфинитив: paieškóti           | Форма: "paieskai" (Tu      ) | Варианты: pãieškai / paíeškai
№2831 | Инфинитив: paieškóti           | Форма: "paieskos" (Jis/ji  ) | Варианты: paieškõs / pãieškos
№2832 | Инфинитив: paieškóti           | Форма: "paieskociau" (Aš      ) | Варианты: paieškočiaũ / paieškóčiau
№2833 | Инфинитив: paieškóti           | Форма: "paieskotume" (Mes     ) | Варианты: paieškotumè / paieškótume
№2834 | Инфинитив: pailsė́ti            | Форма: "pailseciau" (Aš      ) | Варианты: pailsėčiaũ / pailsė́čiau
№2835 | Инфинитив: paim̃ti              | Форма: "paimciau" (Aš      ) | Варианты: paimčiaũ / paim̃čiau
№2836 | Инфинитив: páisyti             | Форма: "paise" (Jis/ji  ) | Варианты: paĩsė / páisė
№2837 | Инфинитив: páisyti             | Форма: "paiseme" (Mes     ) | Варианты: paĩsėme / páisėme
№2838 | Инфинитив: páisyti             | Форма: "paisytu" (Jis/ji  ) | Варианты: paisytų̃ / páisytų
№2839 | Инфинитив: pajaũsti            | Форма: "pajauciau" (Aš      ) | Варианты: pajaučiaũ / pàjaučiau
№2840 | Инфинитив: pajaũsti            | Форма: "pajausciau" (Aš      ) | Варианты: pajausčiaũ / pajaũsčiau
№2841 | Инфинитив: pajė̃gti             | Форма: "pajegiau" (Aš      ) | Варианты: pajėgiaũ / pàjėgiau
№2842 | Инфинитив: pajė̃gti             | Форма: "pajegciau" (Aš      ) | Варианты: pajėgčiaũ / pajė̃gčiau
№2843 | Инфинитив: pajė̃gti             | Форма: "pajegtume" (Mes     ) | Варианты: pajėgtumè / pajė̃gtume
№2844 | Инфинитив: pajudė́ti            | Форма: "pajudeciau" (Aš      ) | Варианты: pajudėčiaũ / pajudė́čiau
№2845 | Инфинитив: pajudė́ti            | Форма: "pajudetume" (Mes     ) | Варианты: pajudėtumè / pajudė́tume
№2846 | Инфинитив: pajùngti            | Форма: "pajungtu" (Jis/ji  ) | Варианты: pajungtų̃ / pajùngtų
№2847 | Инфинитив: pakabìnti           | Форма: "pakabinciau" (Aš      ) | Варианты: pakabinčiaũ / pakabìnčiau
№2848 | Инфинитив: pakalbė́ti           | Форма: "pakalbeciau" (Aš      ) | Варианты: pakalbėčiaũ / pakalbė́čiau
№2849 | Инфинитив: pakalbė́ti           | Форма: "pakalbetume" (Mes     ) | Варианты: pakalbėtumè / pakalbė́tume
№2850 | Инфинитив: pakárti             | Форма: "pakarciau" (Aš      ) | Варианты: pakarčiaũ / pakárčiau
№2851 | Инфинитив: pakárti             | Форма: "pakartu" (Jis/ji  ) | Варианты: pakartų̃ / pakártų
№2852 | Инфинитив: pakartóti           | Форма: "pakartociau" (Aš      ) | Варианты: pakartočiaũ / pakartóčiau
№2853 | Инфинитив: pakeĩsti            | Форма: "pakeisciau" (Aš      ) | Варианты: pakeisčiaũ / pakeĩsčiau
№2854 | Инфинитив: pakeliáuti          | Форма: "pakeliauciau" (Aš      ) | Варианты: pakeliaučiaũ / pakeliáučiau
№2855 | Инфинитив: pakélti             | Форма: "pakelciau" (Aš      ) | Варианты: pakelčiaũ / pakélčiau
№2856 | Инфинитив: pakélti             | Форма: "pakeltu" (Jis/ji  ) | Варианты: pakeltų̃ / pakéltų
№2857 | Инфинитив: pakeñkti            | Форма: "pakenkciau" (Aš      ) | Варианты: pakenkčiaũ / pakeñkčiau
№2858 | Инфинитив: pakentė́ti           | Форма: "pakenteciau" (Aš      ) | Варианты: pakentėčiaũ / pakentė́čiau
№2859 | Инфинитив: pakę̃sti             | Форма: "pakestu" (Jis/ji  ) | Варианты: pakęstų̃ / pakę̃stų
№2860 | Инфинитив: pakìlti             | Форма: "pakilciau" (Aš      ) | Варианты: pakilčiaũ / pakìlčiau
№2861 | Инфинитив: pakìlti             | Форма: "pakiltu" (Jis/ji  ) | Варианты: pakiltų̃ / pakìltų
№2862 | Инфинитив: pakìrsti            | Форма: "pakirsciau" (Aš      ) | Варианты: pakirsčiaũ / pakìrsčiau
№2863 | Инфинитив: pakìrsti            | Форма: "pakirstu" (Jis/ji  ) | Варианты: pakirstų̃ / pakìrstų
№2864 | Инфинитив: pakìsti             | Форма: "pakistu" (Jis/ji  ) | Варианты: pakistų̃ / pakìstų
№2865 | Инфинитив: paklausýti          | Форма: "paklausyciau" (Aš      ) | Варианты: paklausyčiaũ / paklausýčiau
№2866 | Инфинитив: pakliū́ti            | Форма: "pakliuciau" (Aš      ) | Варианты: pakliūčiaũ / pakliū́čiau
№2867 | Инфинитив: pakliū́ti            | Форма: "pakliutume" (Mes     ) | Варианты: pakliūtumè / pakliū́tume
№2868 | Инфинитив: paklóti             | Форма: "paklociau" (Aš      ) | Варианты: pakločiaũ / paklóčiau
№2869 | Инфинитив: paklóti             | Форма: "paklotu" (Jis/ji  ) | Варианты: paklõtų / paklótų
№2870 | Инфинитив: paklùsti            | Форма: "paklustu" (Jis/ji  ) | Варианты: paklustų̃ / paklùstų
№2871 | Инфинитив: pakovóti            | Форма: "pakovociau" (Aš      ) | Варианты: pakovočiaũ / pakovóčiau
№2872 | Инфинитив: pakramtýti          | Форма: "pakramciau" (Aš      ) | Варианты: pakrámčiau / pakramčiaũ
№2873 | Инфинитив: pakráuti            | Форма: "pakrautu" (Jis/ji  ) | Варианты: pakrautų̃ / pakráutų
№2874 | Инфинитив: pakrìkti            | Форма: "pakriktu" (Jis/ji  ) | Варианты: pakriktų̃ / pakrìktų
№2875 | Инфинитив: pakvėpúoti          | Форма: "pakvepuociau" (Aš      ) | Варианты: pakvėpuočiaũ / pakvėpúočiau
№2876 | Инфинитив: pakvìpti            | Форма: "pakviptu" (Jis/ji  ) | Варианты: pakviptų̃ / pakvìptų
№2877 | Инфинитив: paláidoti           | Форма: "palaidociau" (Aš      ) | Варианты: palaidočiaũ / paláidočiau
№2878 | Инфинитив: palaikýti           | Форма: "palaikyciau" (Aš      ) | Варианты: palaikyčiaũ / palaikýčiau
№2879 | Инфинитив: paláukti            | Форма: "palauke" (Jis/ji  ) | Варианты: palaukė̃ / paláukė
№2880 | Инфинитив: paláukti            | Форма: "palaukciau" (Aš      ) | Варианты: palaukčiaũ / paláukčiau
№2881 | Инфинитив: paláužti            | Форма: "palauztu" (Jis/ji  ) | Варианты: palaužtų̃ / paláužtų
№2882 | Инфинитив: paléisti            | Форма: "paleisciau" (Aš      ) | Варианты: paleisčiaũ / paléisčiau
№2883 | Инфинитив: paleñgvinti         | Форма: "palengvinciau" (Aš      ) | Варианты: palengvinčiaũ / paleñgvinčiau
№2884 | Инфинитив: paliẽsti            | Форма: "palieciau" (Aš      ) | Варианты: paliečiaũ / pàliečiau
№2885 | Инфинитив: paliẽsti            | Форма: "paliesciau" (Aš      ) | Варианты: paliesčiaũ / paliẽsčiau
№2886 | Инфинитив: palìkti             | Форма: "palikciau" (Aš      ) | Варианты: palikčiaũ / palìkčiau
№2887 | Инфинитив: palinkė́ti           | Форма: "palinkeciau" (Aš      ) | Варианты: palinkėčiaũ / palinkė́čiau
№2888 | Инфинитив: palinkė́ti           | Форма: "palinketume" (Mes     ) | Варианты: palinkėtumè / palinkė́tume
№2889 | Инфинитив: paliñkti            | Форма: "palinktu" (Jis/ji  ) | Варианты: palinktų̃ / paliñktų
